event_name,session,timestamp,platform,game_name,provider,from_origin,on_origin,on_origin_name,jackpot,on_route,from_route,demo,page_location,page_referrer,fortuna_screen_name,status,added_from,sport_name,betslip_number,betslip_type,fixture_id,selection_id,PlayerID,stake_eur,odds,is_synthetic
page_view,1702084536,2023-09-01 23:54:48.000000 UTC,Casino Android,,,,,,,,,,https://casino.psk.hr/promocije,https://www.psk.hr/,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,,,True
page_view,1702084536,2023-09-01 23:55:56.000000 UTC,Casino Android,,,,,,,,,,https://casino.psk.hr/igre,https://casino.psk.hr/promocije,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,,,True
page_view,1702084536,2023-09-01 23:56:29.000000 UTC,Casino Android,,,,,,,,,,https://casino.psk.hr/,https://casino.psk.hr/igre,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,,,True
casino_game_launch,1702084536,2023-09-01 23:57:44.000000 UTC,Casino Android,BlackJack MH,Evolution,lobby,casino,,False,,,False,,,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,8.2,,True
casino_game_launch,1702084536,2023-09-01 23:58:39.000000 UTC,Casino Android,BlackJack MH,Evolution,lobby,casino,,False,,,False,,,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,9.25,,True
casino_game_launch,1702084536,2023-09-01 23:58:52.000000 UTC,Casino Android,BlackJack MH,Evolution,lobby,casino,,False,,,False,,,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,10.95,,True
casino_game_launch,1702084536,2023-09-01 23:59:16.000000 UTC,Casino Android,Roulette Live,Evolution,lobby,casino,,False,,,False,,,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,17.46,,True
fortuna_screen_view,1701611016,2023-09-01T20:22:03.000Z,SB Android,,,,,,,,,,,,homepage,,,,,,,,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,,True
fortuna_screen_view,1701611016,2023-09-01T20:22:49.000Z,SB Android,,,,,,,,,,,,homepage,,,,,,,,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,,True
fortuna_screen_view,1701611016,2023-09-01T20:23:34.000Z,SB Android,,,,,,,,,,,,prematchDetail,,,,,,,,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,,True
betslip_add_bet,1701611016,2023-09-01T20:24:31.000Z,SB Android,,,,,HNL,,,,,,,,,match_detail_odds,Nogomet,501296.0,AKO,3450378.0,74767092.0,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,2.82,True
betslip_add_bet,1701611016,2023-09-01T20:24:52.000Z,SB Android,,,,,HNL,,,,,,,,,match_detail_odds,Nogomet,501296.0,AKO,3450378.0,75682048.0,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,2.91,True
betslip_add_bet,1701611016,2023-09-01T20:25:09.000Z,SB Android,,,,,HNL,,,,,,,,,match_detail_odds,Nogomet,501296.0,AKO,3450378.0,78236948.0,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,1.79,True
betslip_add_bet,1701611016,2023-09-01T20:25:14.000Z,SB Android,,,,,HNL,,,,,,,,,match_detail_odds,Nogomet,501296.0,AKO,3450378.0,71731900.0,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,3.41,True
betslip_add_bet,1701611016,2023-09-01T20:25:18.000Z,SB Android,,,,,HNL,,,,,,,,,match_detail_odds,Nogomet,501296.0,AKO,3450378.0,77546441.0,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,3.34,True
fortuna_screen_view,1701611016,2023-09-01T20:26:21.000Z,SB Android,,,,,,,,,,,,betslip,,,,,,,,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,,True
betslip_placed_bet,1701611016,2023-09-01T20:27:20.000Z,SB Android,,,,,HNL,,,,,,,,,,Nogomet,501296.0,AKO,3450378.0,74767092.0,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,14.66,2.82,True
betslip_placed_bet,1701611016,2023-09-01T20:28:14.000Z,SB Android,,,,,HNL,,,,,,,,,,Nogomet,501296.0,AKO,3450378.0,75682048.0,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,14.66,2.91,True
betslip_placed_bet,1701611016,2023-09-01T20:29:07.000Z,SB Android,,,,,HNL,,,,,,,,,,Nogomet,501296.0,AKO,3450378.0,78236948.0,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,14.66,1.79,True
betslip_placed_bet,1701611016,2023-09-01T20:29:57.000Z,SB Android,,,,,HNL,,,,,,,,,,Nogomet,501296.0,AKO,3450378.0,71731900.0,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,14.66,3.41,True
betslip_placed_bet,1701611016,2023-09-01T20:30:31.000Z,SB Android,,,,,HNL,,,,,,,,,,Nogomet,501296.0,AKO,3450378.0,77546441.0,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,14.66,3.33,True
betslip_placed,1701611016,2023-09-01T20:30:41.000Z,SB Android,,,,,HNL,,,,,,,,ACCEPTED,match_detail_odds,Nogomet,501296.0,AKO,3450378.0,,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,14.66,,True
fortuna_screen_view,1701611016,2023-09-01T20:31:05.000Z,SB Android,,,,,,,,,,,,ticketDetail,,,,,,,,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,,True
fortuna_screen_view,1701611016,2023-09-01T20:31:54.000Z,SB Android,,,,,,,,,,,,ticketHistory,,,,,,,,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,,True
fortuna_screen_view,1701612937,2023-09-01T21:30:26.000Z,SB Android,,,,,,,,,,,,homepage,,,,,,,,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,,True
fortuna_screen_view,1701612937,2023-09-01T21:31:35.000Z,SB Android,,,,,,,,,,,,prematchLeagues,,,,,,,,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,,True
fortuna_screen_view,1701612937,2023-09-01T21:31:52.000Z,SB Android,,,,,,,,,,,,prematchDetail,,,,,,,,SYN_U05_0507b194f70564b8a96b32b2392c05b05adbdbfd5974ea9a01f47a10,,,True
page_view,1702083760,2023-09-02 22:28:16.000000 UTC,Casino Android,,,,,,,,,,https://casino.psk.hr/najnovije,https://www.psk.hr/,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,,,True
page_view,1702083760,2023-09-02 22:29:42.000000 UTC,Casino Android,,,,,,,,,,https://casino.psk.hr/igre,https://casino.psk.hr/najnovije,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,,,True
casino_game_launch,1702083760,2023-09-02 22:29:57.000000 UTC,Casino Android,BlackJack MH,Evolution,lobby,casino,,False,,,False,,,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,10.66,,True
casino_game_launch,1702083760,2023-09-02 22:30:49.000000 UTC,Casino Android,BlackJack MH,Evolution,lobby,casino,,False,,,False,,,,,,,,,,,SYN_U06_7b645054caa3a88ad780c92ee423a15ab754ebe273c3c03863cdf8c8,13.58,,True
fortuna_screen_view,1700000528,2023-09-02T19:40:18.000Z,SB Android,,,,,,,,,,,,homepage,,,,,,,,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,,,True
fortuna_screen_view,1700000528,2023-09-02T19:41:14.000Z,SB Android,,,,,,,,,,,,prematchSports,,,,,,,,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,,,True
fortuna_screen_view,1700000528,2023-09-02T19:41:43.000Z,SB Android,,,,,,,,,,,,prematchMatchesOverview,,,,,,,,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,,,True
fortuna_screen_view,1700000528,2023-09-02T19:42:39.000Z,SB Android,,,,,,,,,,,,prematchSports,,,,,,,,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,,,True
fortuna_screen_view,1700000528,2023-09-02T19:43:36.000Z,SB Android,,,,,,,,,,,,prematchDetail,,,,,,,,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,,,True
betslip_add_bet,1700000528,2023-09-02T19:44:13.000Z,SB Android,,,,,Liga prvaka,,,,,,,,,match_detail_odds,Nogomet,500001.0,AKO,3606667.0,79815032.0,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,,1.44,True
betslip_add_bet,1700000528,2023-09-02T19:44:23.000Z,SB Android,,,,,Liga prvaka,,,,,,,,,match_detail_odds,Nogomet,500001.0,AKO,3606667.0,76424190.0,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,,2.31,True
betslip_add_bet,1700000528,2023-09-02T19:44:37.000Z,SB Android,,,,,Liga prvaka,,,,,,,,,match_detail_odds,Nogomet,500001.0,AKO,3606667.0,74704379.0,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,,3.49,True
fortuna_screen_view,1700000528,2023-09-02T19:44:56.000Z,SB Android,,,,,,,,,,,,betslip,,,,,,,,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,,,True
betslip_placed_bet,1700000528,2023-09-02T19:45:46.000Z,SB Android,,,,,Liga prvaka,,,,,,,,,,Nogomet,500001.0,AKO,3606667.0,79815032.0,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,14.48,1.44,True
betslip_placed_bet,1700000528,2023-09-02T19:46:26.000Z,SB Android,,,,,Liga prvaka,,,,,,,,,,Nogomet,500001.0,AKO,3606667.0,76424190.0,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,14.48,2.31,True
betslip_placed_bet,1700000528,2023-09-02T19:47:16.000Z,SB Android,,,,,Liga prvaka,,,,,,,,,,Nogomet,500001.0,AKO,3606667.0,74704379.0,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,14.48,3.49,True
betslip_placed,1700000528,2023-09-02T19:48:05.000Z,SB Android,,,,,Liga prvaka,,,,,,,,ACCEPTED,match_detail_odds,Nogomet,500001.0,AKO,3606667.0,,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,14.48,,True
fortuna_screen_view,1700000528,2023-09-02T19:48:52.000Z,SB Android,,,,,,,,,,,,ticketDetail,,,,,,,,SYN_U01_4b05437db520b41729d30dfc6d8122545db7e0f1e2519c5d0e0a26f1,,,True
fortuna_screen_view,1700678214,2023-09-02T23:00:29.000Z,SB Android,,,,,,,,,,,,homepage,,,,,,,,SYN_U03_ce30d610bf6a579f75ed9905dbbf4905f03244dd1df0de981bbe931f,,,True
fortuna_screen_view,1700678214,2023-09-02T23:01:09.000Z,SB Android,,,,,,,,,,,,prematchLeagues,,,,,,,,SYN_U03_ce30d610bf6a579f75ed9905dbbf4905f03244dd1df0de981bbe931f,,,True
fortuna_screen_view,1700678214,2023-09-02T23:01:25.000Z,SB Android,,,,,,,,,,,,prematchSports,,,,,,,,SYN_U03_ce30d610bf6a579f75ed9905dbbf4905f03244dd1df0de981bbe931f,,,True
fortuna_screen_view,1700678214,2023-09-02T23:02:15.000Z,SB Android,,,,,,,,,,,,prematchDetail,,,,,,,,SYN_U03_ce30d610bf6a579f75ed9905dbbf4905f03244dd1df0de981bbe931f,,,True
